B,pet_name,pet_type,breed,age,weight,color,birth_date,owner_name,owner_email,owner_address,owner_city,owner_state,owner_country,owner_postal_code,vaccinated,neutered,microchip_id,vet_name,vet_phone,groomer_name,groomer_phone,food_brand,food_quantity,food_frequency,exercise_duration,exercise_frequency,sleep_duration,temperament,favorite_toy,favorite_treat,grooming_needs
208,Haven,fish,Holland Lop,1,11.3,orange,6/25/2022,Haven Hullins,hchilver5r@icq.com,66145 Mallard Parkway,Saryözek,,Kazakhstan,,false,false,6118358659,Haven Leagas,589-796-0151,Haven Chilver,395-690-9831,Blue Buffalo,6.48,twice a day,7.6,daily,21.3,playful,stuffed animal,fish flakes,low
209,Dulcine,bird,Holland Lop,9,97.1,black,11/16/2019,Dulcine Bonfield,dshoulders5s@slate.com,7927 Sunnyside Way,Urambo,,Tanzania,,false,true,7006135451,Dulcine Levay,978-717-0921,Dulcine Shoulders,870-976-0411,Royal Canin,0.42,twice a day,22,3 times a week,19.6,friendly,chew toy,dog biscuit,moderate
210,Dora,rabbit,Labrador Retriever,9,72.3,orange,2/17/2010,Dora Akrigg,dyounghusband5t@over-blog.com,05817 Nova Pass,Kamen’-na-Obi,,Russia,658709,false,false,2169214672,Dora Mainson,424-135-2703,Dora Younghusband,220-644-2612,Royal Canin,0.4,three times a day,79,daily,9.8,calm,feather wand,fish flakes,high
211,Rafaellle,cat,Siamese,17,33.1,orange,5/13/2010,Rafaellle Costard,rvipan5u@harvard.edu,733 Elka Point,Jīma,,Ethiopia,,false,false,7834126068,Rafaellle Durant,302-101-1728,Rafaellle Vipan,236-312-0435,Iams,4.49,three times a day,104.3,weekly,22,shy,feather wand,catnip,low
212,Darsey,dog,Labrador Retriever,0,68.2,gray,10/21/2006,Darsey Gilluley,daslet5v@answers.com,8 Memorial Hill,Bual,,Philippines,9410,false,false,8959740541,Darsey Klessmann,984-947-3399,Darsey Aslet,766-215-7197,Blue Buffalo,7.57,twice a day,13.2,weekly,14.7,energetic,feather wand,dog biscuit,high
213,Dorelle,bird,Labrador Retriever,14,7.8,white,9/29/2001,Dorelle Werrilow,draw5w@marketwatch.com,0 Shasta Place,Cadagmayan Norte,,Philippines,5001,false,false,7861200184,Dorelle Lidington,499-324-8855,Dorelle Raw,619-224-5311,Iams,3.25,once a day,52.1,weekly,1.2,energetic,chew toy,bird seed,low
214,Alfie,dog,Holland Lop,18,2.4,white,4/16/2017,Alfie Dargie,aconeron5x@wikia.com,9856 Vermont Drive,Swan Hills,Alberta,Canada,L2T,true,true,3246261802,Alfie Caulcutt,565-806-8473,Alfie Coneron,158-716-9563,Iams,4,three times a day,116,3 times a week,15.1,shy,feather wand,fish flakes,moderate
215,Carly,cat,Siamese,11,13,orange,7/14/2007,Carly Fenning,cwrack5y@yandex.ru,25 Riverside Crossing,Numeto,,Indonesia,,true,true,2996515901,Carly Traite,361-690-1706,Carly Wrack,313-262-3254,Purina,2.25,three times a day,77,weekly,10.7,playful,chew toy,carrot,high
216,Sandro,fish,Siamese,4,98.4,orange,12/19/2003,Sandro Commuzzo,sclymo5z@apple.com,5 Kedzie Parkway,Xinjie,,China,,false,false,6840751504,Sandro Pactat,375-390-5040,Sandro Clymo,976-913-5953,Iams,9.87,three times a day,106.6,3 times a week,12.7,friendly,ball,bird seed,high
217,Claudette,bird,Siamese,7,41.2,orange,12/28/2021,Claudette Capozzi,cgauge60@technorati.com,1437 Clyde Gallagher Place,Frederiksberg,Region Hovedstaden,Denmark,1853,false,true,7254680187,Claudette Guidoni,438-843-7060,Claudette Gauge,165-962-9118,Hill's Science Diet,7.47,three times a day,14.7,daily,22.8,calm,chew toy,carrot,low
218,Helge,rabbit,Goldfish,2,38.4,orange,3/31/2009,Helge Tennant,hiceton61@tripadvisor.com,03 Clarendon Center,Jinshan,,China,,true,true,8338005900,Helge Burkert,404-615-5428,Helge Iceton,969-715-8624,Iams,8.88,three times a day,76.7,3 times a week,13.2,energetic,ball,catnip,high
219,Carling,cat,Holland Lop,11,70.9,black,3/10/2008,Carling Juarez,cgoss62@va.gov,6295 Sauthoff Point,Talhār,,Pakistan,72100,true,true,6836683384,Carling Lattos,724-790-3420,Carling Goss,478-639-8951,Purina,3.24,three times a day,65.7,daily,8.8,energetic,feather wand,dog biscuit,high
220,Natividad,dog,Siamese,20,34.3,black,7/26/2017,Natividad Babon,nblythe63@bloglines.com,2 John Wall Avenue,Göteborg,Västra Götaland,Sweden,401 99,false,true,4506106117,Natividad Gouldbourn,121-144-6931,Natividad Blythe,507-388-0820,Royal Canin,4.99,twice a day,32.1,daily,5.5,calm,laser pointer,dog biscuit,moderate
221,Gwyneth,dog,Labrador Retriever,0,30.6,orange,7/4/2007,Gwyneth Coarser,gjarville64@scientificamerican.com,64 Eggendart Alley,Shelopugino,,Russia,673610,false,false,4527019957,Gwyneth Whitelock,597-794-7165,Gwyneth Jarville,213-404-8799,Royal Canin,4.1,twice a day,104.7,3 times a week,17.3,playful,ball,fish flakes,high
222,Viole,dog,Holland Lop,8,41.8,orange,4/26/2005,Viole Nanninini,vjobbing65@soup.io,068 Corry Court,Simpanganduwet,,Indonesia,,false,false,2141898176,Viole Milier,302-174-3457,Viole Jobbing,526-902-1600,Iams,6.89,twice a day,117.5,daily,15.1,energetic,stuffed animal,dog biscuit,moderate
223,Grazia,bird,Parakeet,13,47.3,black,8/7/2010,Grazia Asple,gmulran66@ucoz.ru,8 Kensington Hill,Zouila,,Tunisia,,false,true,6580492020,Grazia Syer,511-919-5216,Grazia Mulran,957-905-7887,Blue Buffalo,0.71,twice a day,93,daily,13.6,energetic,laser pointer,fish flakes,low
224,Thorn,dog,Labrador Retriever,17,50.4,white,8/17/2009,Thorn Edmonston,tinglefield67@hexun.com,0321 Buena Vista Road,São Sebastião,,Brazil,11600-000,true,false,7527708477,Thorn Storrar,589-856-6466,Thorn Inglefield,983-838-9545,Royal Canin,4.51,once a day,114.3,weekly,12.3,friendly,chew toy,fish flakes,high
225,Dukie,bird,Siamese,3,97.8,black,6/12/2004,Dukie Eleshenar,dfautly68@jimdo.com,69 Fair Oaks Hill,El Charco,,Colombia,527537,false,true,4478770064,Dukie Giral,456-495-7889,Dukie Fautly,954-263-2208,Iams,1.6,once a day,111.2,3 times a week,14.6,calm,chew toy,bird seed,low
226,Lorenzo,bird,Parakeet,17,32.1,black,11/30/2021,Lorenzo Pendock,lchoulerton69@livejournal.com,8902 Warbler Hill,Kiev,,Ukraine,,false,false,1922877688,Lorenzo Halpen,263-109-2181,Lorenzo Choulerton,586-520-1341,Blue Buffalo,4.28,three times a day,50.2,3 times a week,6.9,playful,feather wand,dog biscuit,moderate
227,Carree,rabbit,Goldfish,19,21,gray,3/3/2010,Carree Ollier,cisbell6a@123-reg.co.uk,85127 Barby Plaza,Chaloem Phra Kiat,,Thailand,30370,false,true,6529212397,Carree Fiddler,774-330-8383,Carree Isbell,950-376-7069,Blue Buffalo,5.71,once a day,100.8,3 times a week,14.7,shy,ball,fish flakes,moderate
228,Salaidh,bird,Goldfish,9,37.5,brown,3/1/2006,Salaidh Frederick,sisson6b@deviantart.com,6 Sunnyside Terrace,Jinzhou,,China,,true,false,9484702258,Salaidh Martinez,686-535-6471,Salaidh Isson,769-454-3912,Royal Canin,0,twice a day,111,daily,4,shy,laser pointer,bird seed,low
229,Wendi,fish,Parakeet,0,28.8,gray,9/22/2002,Wendi Foottit,wlivings6c@virginia.edu,784 Melby Junction,Siilinjärvi,,Finland,71801,false,true,2475317553,Wendi Gerardin,337-377-5874,Wendi Livings,674-972-9622,Purina,2.6,twice a day,105.1,3 times a week,12.4,shy,chew toy,fish flakes,low
230,Abigale,cat,Siamese,15,52.4,gray,11/5/2002,Abigale Chomiszewski,atrevena6d@goo.gl,203 Onsgard Court,Nagasari,,Indonesia,,false,true,5982566370,Abigale Emslie,969-876-0779,Abigale Trevena,825-107-7850,Royal Canin,7.93,once a day,106,3 times a week,22.3,friendly,chew toy,carrot,high
231,Kyle,dog,Parakeet,2,22,gray,6/29/2000,Kyle Andriesse,kaloigi6e@dmoz.org,54856 Commercial Hill,Siguqiao,,China,,true,false,4850010569,Kyle Kivelhan,843-996-1807,Kyle Aloigi,522-499-9502,Iams,1.56,three times a day,51.4,weekly,18.6,friendly,laser pointer,carrot,high
232,Nanine,fish,Siamese,19,61.2,black,4/22/2015,Nanine Hosten,nhardwidge6f@devhub.com,201 Gina Junction,Hidalgo,Mexico,Mexico,53580,false,false,9919377045,Nanine Lapworth,913-908-9713,Nanine Hardwidge,938-581-9729,Royal Canin,1.12,twice a day,7.1,weekly,7.5,energetic,ball,fish flakes,high
233,Halli,fish,Holland Lop,18,64.2,black,3/9/2008,Halli Logesdale,hhassin6g@de.vu,2304 Meadow Ridge Circle,Ciparay,,Indonesia,,false,false,9495981540,Halli Cancellario,543-957-6575,Halli Hassin,209-960-1434,Blue Buffalo,0.16,twice a day,66,3 times a week,4.5,shy,ball,carrot,low
234,Malorie,fish,Siamese,13,58.3,brown,1/12/2008,Malorie Whitley,mwellfare6h@youtube.com,29746 Talmadge Circle,Punkalaidun,,Finland,31901,true,true,1913750383,Malorie Spondley,344-842-4407,Malorie Wellfare,202-414-9257,Hill's Science Diet,9.32,once a day,113.9,3 times a week,6.4,playful,stuffed animal,carrot,low
235,Nellie,fish,Holland Lop,9,5.5,white,4/30/2014,Nellie Bromet,nchalliss6i@hhs.gov,6 Sutteridge Avenue,Gilowice,,Poland,34-322,true,true,4608806156,Nellie Warman,326-422-0072,Nellie Challiss,980-852-6642,Iams,8.92,once a day,8.3,weekly,5.3,friendly,feather wand,catnip,low
236,Arlin,fish,Parakeet,17,96.3,gray,10/16/2002,Arlin Mattingson,abrogi6j@epa.gov,5549 Jenna Junction,Tokonou,,Guinea,,true,true,9516726783,Arlin Ropcke,186-739-6921,Arlin Brogi,285-960-7645,Blue Buffalo,9.18,twice a day,3.7,weekly,19.3,shy,chew toy,carrot,low
237,Randee,bird,Goldfish,8,44.2,black,7/5/2014,Randee Samwyse,rbotte6k@qq.com,76 Clove Drive,Flora,,Philippines,3810,false,false,1814324615,Randee Place,901-785-7937,Randee Botte,316-657-3030,Royal Canin,5.54,twice a day,113.4,3 times a week,12.6,shy,stuffed animal,dog biscuit,moderate
238,Edita,bird,Holland Lop,3,24.2,orange,4/15/2002,Edita Aird,erawson6l@webs.com,2326 Rusk Circle,Norak,,Tajikistan,,true,false,8557752594,Edita Wooton,102-979-0705,Edita Rawson,405-319-4196,Purina,7.05,twice a day,71.3,daily,12.4,shy,laser pointer,fish flakes,high
239,Jermaine,fish,Holland Lop,11,92.2,white,7/30/2005,Jermaine Swinnerton,jkingzett6m@cisco.com,2 Fuller Avenue,Solnechnoye,,Russia,197738,true,true,1397232891,Jermaine Torrance,912-319-1992,Jermaine Kingzett,147-115-8577,Royal Canin,0.6,three times a day,73.3,daily,0.7,calm,chew toy,dog biscuit,low
240,Brady,bird,Parakeet,5,8.5,black,3/4/2017,Brady Duckit,bbonham6n@webeden.co.uk,8 Trailsway Alley,Gwangju,,South Korea,,true,false,7995501569,Brady Whatley,404-149-0255,Brady Bonham,913-219-9627,Blue Buffalo,0.52,three times a day,99.5,daily,9.3,shy,stuffed animal,dog biscuit,moderate
241,Brendis,cat,Holland Lop,7,25.6,white,1/24/2013,Brendis Haslum,bbrosius6o@alibaba.com,7 Surrey Trail,Baras,,Philippines,4803,false,false,6827861107,Brendis Guerreru,137-696-1000,Brendis Brosius,491-869-8148,Royal Canin,9.99,three times a day,5.5,weekly,22.9,playful,laser pointer,catnip,high
242,Myrtice,cat,Parakeet,20,67.7,gray,5/2/2014,Myrtice Janda,mlaytham6p@ameblo.jp,032 Southridge Parkway,Nal’chik,,Russia,361424,true,false,6814523309,Myrtice McTrustram,848-956-2821,Myrtice Laytham,137-519-4709,Purina,8.07,twice a day,19.8,daily,10.7,playful,ball,bird seed,moderate
243,Francene,fish,Siamese,11,99.8,orange,7/11/2020,Francene Jeanon,fsilverman6q@comsenz.com,7162 Forster Lane,Saint David’s,,Grenada,,true,false,4346007309,Francene Samter,504-324-6890,Francene Silverman,278-630-8515,Royal Canin,7.53,once a day,83.2,3 times a week,14.2,shy,ball,dog biscuit,moderate
244,Alameda,bird,Parakeet,4,69.2,black,3/27/2012,Alameda Wickman,araigatt6r@freewebs.com,5 Derek Court,Bifeng,,China,,true,false,6749900923,Alameda Attac,278-322-0285,Alameda Raigatt,417-469-8308,Royal Canin,0.78,twice a day,17.3,weekly,5.4,shy,feather wand,carrot,low
245,Ezechiel,bird,Holland Lop,2,22.9,gray,9/12/2008,Ezechiel Enevold,egoodliff6s@netlog.com,9 Russell Court,Vyritsa,,Russia,188382,true,false,5275378906,Ezechiel Flaunier,777-525-2275,Ezechiel Goodliff,197-698-1041,Purina,5.07,twice a day,76.5,weekly,2.5,shy,ball,catnip,moderate
246,Igor,bird,Siamese,2,56.9,gray,5/14/2006,Igor Mollatt,isheriff6t@youtube.com,27 Buhler Center,Madison,Wisconsin,United States,53726,false,true,7597512429,Igor Bover,608-663-5841,Igor Sheriff,427-741-8035,Royal Canin,4.3,three times a day,103.2,3 times a week,10.9,calm,stuffed animal,carrot,low
247,Tommy,bird,Labrador Retriever,4,53.9,black,4/25/2015,Tommy Lethbrig,twaples6u@tinyurl.com,37981 Lyons Trail,San Sebastian,Mexico,Mexico,51950,false,true,1089483349,Tommy Grossman,210-775-8423,Tommy Waples,709-369-2231,Royal Canin,6.36,three times a day,81.8,weekly,2.8,shy,chew toy,carrot,high
248,Vikky,cat,Parakeet,11,78.3,orange,12/25/2020,Vikky Spellar,vweakley6v@unicef.org,796 Hoepker Lane,Dallas,Texas,United States,75210,true,true,2116837907,Vikky McMinn,972-477-7425,Vikky Weakley,593-779-9051,Hill's Science Diet,8.28,three times a day,118,weekly,15.7,energetic,chew toy,carrot,high
249,Killian,dog,Labrador Retriever,2,46.5,orange,11/17/2019,Killian Ellett,kreims6w@exblog.jp,81 Mayer Place,Majagual,,Colombia,703058,true,true,3561900849,Killian O'Fogarty,125-904-2611,Killian Reims,123-661-9934,Hill's Science Diet,8.45,three times a day,87.2,daily,1.4,playful,stuffed animal,fish flakes,low
250,Bel,rabbit,Holland Lop,10,24.9,brown,12/9/2003,Bel Fairrie,bokenfold6x@freewebs.com,4606 Kingsford Crossing,Dongdong,,China,,false,false,5968260300,Bel Allingham,638-887-6609,Bel Okenfold,157-819-3498,Iams,2.36,twice a day,18,weekly,8.5,energetic,laser pointer,bird seed,moderate
251,Alexei,rabbit,Labrador Retriever,19,82.5,orange,2/5/2000,Alexei Biglin,avickars6y@360.cn,5031 Lerdahl Circle,Talawakele,,Sri Lanka,22100,false,true,8176929475,Alexei Lamlin,494-674-5567,Alexei Vickars,647-337-9553,Royal Canin,1.31,three times a day,41,weekly,11.8,playful,ball,dog biscuit,high
252,Alastair,rabbit,Goldfish,11,94.4,brown,3/10/2010,Alastair Jolliffe,agreedy6z@vkontakte.ru,033 Garrison Hill,Kyjov,,Czech Republic,592 14,false,true,9417962051,Alastair Keijser,571-596-7910,Alastair Greedy,434-409-0874,Iams,9.81,three times a day,42.6,3 times a week,7.5,shy,laser pointer,fish flakes,moderate
253,Antonina,rabbit,Holland Lop,20,42.6,brown,6/2/2000,Antonina Scrimshire,astrafford70@cnn.com,273 Gulseth Road,Pelym,,Russia,624582,false,true,1963499802,Antonina Harses,851-143-2627,Antonina Strafford,925-926-5881,Iams,6.2,twice a day,2.6,3 times a week,13.3,playful,stuffed animal,bird seed,low
254,Arnold,rabbit,Goldfish,4,39.1,black,10/2/2018,Arnold Danforth,ao71@360.cn,7383 Schmedeman Court,Madīnat Ḩamad,,Bahrain,,true,false,1738862675,Arnold Englishby,304-451-6024,Arnold O' Mullane,222-523-3330,Purina,0.72,three times a day,84.2,daily,8.9,friendly,laser pointer,fish flakes,low
255,Merrielle,dog,Parakeet,15,15.2,gray,4/30/2020,Merrielle Renton,mgunther72@g.co,3 Butternut Lane,Danghara,,Tajikistan,,false,true,7586548635,Merrielle De Laspee,371-163-7551,Merrielle Gunther,153-642-7368,Royal Canin,9.97,three times a day,87.7,weekly,3.7,playful,ball,dog biscuit,low
256,Andrea,bird,Parakeet,15,54.5,brown,1/25/2016,Andrea Farnish,atatlock73@arizona.edu,20 North Lane,Longba,,China,,false,false,2202620002,Andrea Drinan,116-856-8925,Andrea Tatlock,871-919-5996,Hill's Science Diet,3.12,three times a day,45.4,daily,18.4,energetic,ball,catnip,moderate
257,Leia,dog,Parakeet,1,2,orange,6/19/2015,Leia Scowcraft,ldossantos74@nasa.gov,18518 Merchant Place,Kiruru,,Indonesia,,false,false,7614155632,Leia Yesson,787-697-9060,Leia Dossantos,246-192-9767,Purina,9.03,twice a day,37.7,3 times a week,6.1,shy,laser pointer,fish flakes,moderate
258,Gracie,bird,Labrador Retriever,5,8.8,orange,1/24/2005,Gracie Minigo,gthurber75@mapy.cz,505 1st Road,Mathakola,,Botswana,,true,true,2561683382,Gracie Grotty,504-205-3715,Gracie Thurber,218-539-0824,Blue Buffalo,5.96,once a day,48.1,3 times a week,21.8,friendly,feather wand,fish flakes,high
259,Stevena,bird,Holland Lop,15,36.2,white,10/11/2010,Stevena Yirrell,sbinestead76@globo.com,66420 Quincy Point,Cikarang,,Indonesia,,true,true,9240121914,Stevena Curwen,423-155-5694,Stevena Binestead,735-919-7535,Purina,4.09,once a day,59.9,3 times a week,15.2,friendly,feather wand,carrot,low
260,Carissa,cat,Goldfish,16,21.6,orange,11/3/2016,Carissa Pittson,cwaterson77@phpbb.com,57606 Fuller Park,Verkhniy Kurkuzhin,,Russia,361515,false,true,1677866567,Carissa Gounard,428-658-4072,Carissa Waterson,246-887-7002,Purina,8.67,twice a day,77.3,weekly,13.1,shy,chew toy,bird seed,low
261,Jaine,cat,Siamese,7,44.1,gray,5/23/2004,Jaine Brumbie,jkunneke78@blogtalkradio.com,59278 Moose Trail,Mongo,,Chad,,true,true,8426319027,Jaine Allwell,984-740-6138,Jaine Kunneke,695-882-8191,Purina,1.73,twice a day,11.1,3 times a week,18,friendly,feather wand,carrot,low
262,Humfrey,bird,Siamese,3,51.9,black,10/12/2016,Humfrey McDavitt,hchellenham79@prweb.com,22 Fallview Park,Madang,,China,,true,true,3538695729,Humfrey Karlolak,893-845-8230,Humfrey Chellenham,119-708-0235,Blue Buffalo,2.35,once a day,13.3,3 times a week,8.9,calm,laser pointer,carrot,moderate
263,Alia,rabbit,Labrador Retriever,11,74.4,white,6/3/2013,Alia Overall,ascaddon7a@mit.edu,94820 Clarendon Pass,Tsukuba,,Japan,369-0114,true,true,4525782431,Alia Kerwen,296-418-4280,Alia Scaddon,337-799-0745,Iams,5.3,three times a day,48.6,daily,21.9,playful,laser pointer,carrot,low
264,Bernita,dog,Siamese,4,82.1,white,10/2/2003,Bernita Brislawn,bsimonutti7b@posterous.com,29 Manley Center,Santa Catalina,,Uruguay,,false,false,6545241539,Bernita Dedden,731-187-5704,Bernita Simonutti,517-454-2113,Purina,7.31,once a day,99.7,3 times a week,13.3,friendly,ball,carrot,high
265,Blakeley,rabbit,Holland Lop,16,54.8,black,5/25/2015,Blakeley Carlton,bfayre7c@furl.net,7 Eagle Crest Park,Huangzhuang,,China,,false,false,6159198444,Blakeley Sigars,599-642-3509,Blakeley Fayre,150-993-1319,Blue Buffalo,7.34,three times a day,61.6,weekly,11,friendly,stuffed animal,catnip,high
266,Erin,fish,Siamese,5,24,white,8/18/2021,Erin Healeas,eakker7d@phoca.cz,45 Gulseth Hill,Taltal,,Philippines,6715,false,true,9092958931,Erin Gillivrie,735-723-8505,Erin Akker,414-545-6553,Royal Canin,5.84,twice a day,56.1,3 times a week,16.6,shy,feather wand,dog biscuit,high
267,Barn,cat,Holland Lop,6,83.4,white,4/20/2022,Barn Bailes,blangfat7e@nyu.edu,9012 Alpine Park,Chenggang,,China,,true,true,6617719990,Barn Liddiatt,949-889-3442,Barn Langfat,860-365-1087,Royal Canin,3.6,twice a day,40.7,daily,17.2,shy,stuffed animal,catnip,high
268,Dewey,dog,Siamese,16,46.1,brown,7/9/2005,Dewey Mulqueen,domohun7f@dropbox.com,678 Buell Terrace,Telaga,,Indonesia,,false,false,7480918084,Dewey Vannozzii,992-212-3344,Dewey O'Mohun,729-482-8022,Royal Canin,9.08,twice a day,103.3,3 times a week,9.8,calm,laser pointer,catnip,low
269,Edie,dog,Holland Lop,19,63.8,gray,12/5/2009,Edie Dykes,escoines7g@netlog.com,78 Towne Parkway,Nisí,,Greece,,false,false,3411327526,Edie Jenton,958-836-8007,Edie Scoines,364-634-4211,Iams,2.33,once a day,51.9,3 times a week,19.6,calm,feather wand,bird seed,moderate
270,Abagael,fish,Siamese,7,46.9,black,1/5/2011,Abagael Tommei,alaterza7h@who.int,98 Macpherson Center,Manggissari,,Indonesia,,true,false,9353856098,Abagael Illing,761-343-5789,Abagael Laterza,775-762-9294,Royal Canin,8.63,twice a day,9.4,daily,14.1,friendly,feather wand,fish flakes,high
271,Halsey,cat,Goldfish,15,97.4,black,9/4/2014,Halsey Renner,hcuxson7i@smh.com.au,16441 Heffernan Pass,Berehomet,,Ukraine,,false,false,3525879722,Halsey Dusey,876-958-6711,Halsey Cuxson,613-339-6377,Hill's Science Diet,8.99,twice a day,80.9,weekly,0.7,energetic,feather wand,fish flakes,moderate
272,Earle,fish,Labrador Retriever,16,58.4,black,2/19/2022,Earle Brooker,ebuckam7j@printfriendly.com,34 Buena Vista Park,Poshekhon’ye,,Russia,152850,false,false,9073876810,Earle Wood,395-669-7568,Earle Buckam,759-606-5856,Blue Buffalo,5.81,twice a day,83.2,weekly,1.9,energetic,stuffed animal,carrot,low
273,Tyrus,rabbit,Parakeet,3,67.2,black,8/29/2020,Tyrus Mardlin,tjurs7k@globo.com,89308 Linden Trail,Lepanto,,Philippines,2417,true,true,2816984782,Tyrus Mace,719-174-2367,Tyrus Jurs,813-176-3074,Hill's Science Diet,7.86,once a day,68.3,daily,14.1,shy,stuffed animal,bird seed,high
274,Willdon,dog,Goldfish,18,25.2,gray,10/30/2006,Willdon Yglesia,wabbis7l@sciencedirect.com,8 Victoria Street,Kardamás,,Greece,,false,false,7138842046,Willdon Flipek,234-172-2534,Willdon Abbis,665-251-9750,Blue Buffalo,1.14,twice a day,29.9,3 times a week,3.4,energetic,ball,fish flakes,low
275,Shaun,fish,Holland Lop,3,13,black,8/19/2020,Shaun Glascott,sgravatt7m@posterous.com,182 Anzinger Crossing,Colmeal,Coimbra,Portugal,3070-094,false,true,4992665658,Shaun Orring,413-485-2321,Shaun Gravatt,826-991-3514,Blue Buffalo,6.21,twice a day,29.3,weekly,9,calm,ball,catnip,high
276,Gabrielle,fish,Parakeet,1,76.7,brown,6/25/2002,Gabrielle Kopisch,gtroctor7n@prnewswire.com,5550 Northwestern Crossing,Kamba,,Nigeria,,true,true,4998718701,Gabrielle Anthiftle,458-298-7041,Gabrielle Troctor,139-555-6238,Royal Canin,9.08,once a day,89.3,daily,13.9,calm,laser pointer,dog biscuit,high
277,Colman,cat,Parakeet,0,39.1,orange,2/15/2009,Colman Chritchlow,croman7o@squidoo.com,16913 Division Hill,Mahates,,Colombia,131048,false,true,3647245126,Colman Gallant,328-448-2650,Colman Roman,732-659-1926,Hill's Science Diet,7.97,three times a day,68.6,weekly,12.5,energetic,ball,catnip,moderate
278,Lukas,rabbit,Goldfish,16,3.4,white,9/8/2004,Lukas Clyde,lclubley7p@theatlantic.com,517 Sommers Way,José de Freitas,,Brazil,64110-000,true,false,4963412437,Lukas Hazart,172-680-2008,Lukas Clubley,831-565-7568,Hill's Science Diet,0.25,twice a day,59,weekly,12.9,shy,chew toy,carrot,high
279,Lorrin,cat,Goldfish,7,65.2,gray,6/7/2004,Lorrin Barajas,lmanilove7q@ning.com,0679 Kipling Pass,Yosowilangun,,Indonesia,,true,true,8939772258,Lorrin Klulicek,261-469-4742,Lorrin Manilove,870-897-3710,Blue Buffalo,3.93,three times a day,98.7,weekly,13.4,energetic,stuffed animal,carrot,low
280,Aldridge,bird,Holland Lop,15,44.6,white,5/8/2007,Aldridge Liddy,abellefonte7r@feedburner.com,1 Spenser Lane,Pobral,Lisboa,Portugal,2655-121,false,false,1284553626,Aldridge Ivic,714-902-6898,Aldridge Bellefonte,209-426-7730,Royal Canin,9.05,three times a day,29.6,daily,22.2,calm,laser pointer,carrot,low
281,Jesselyn,fish,Parakeet,19,85.1,orange,9/7/2014,Jesselyn McLugaish,jgrigs7s@people.com.cn,30607 6th Trail,Gelatik,,Indonesia,,true,false,4715305610,Jesselyn Lamswood,674-167-2218,Jesselyn Grigs,567-139-2168,Hill's Science Diet,5.09,once a day,15,3 times a week,10.1,friendly,chew toy,catnip,moderate
282,Susann,rabbit,Holland Lop,8,16.6,gray,7/24/2002,Susann Delgado,ssmidmore7t@ucoz.ru,0 Coleman Circle,Ceres,,Argentina,2340,false,false,3493476873,Susann Hambling,874-190-1750,Susann Smidmore,434-389-8674,Blue Buffalo,0.97,once a day,1.5,weekly,3.6,friendly,ball,dog biscuit,low
283,Trumaine,fish,Goldfish,3,72.9,brown,10/2/2022,Trumaine Childes,tthurston7u@nsw.gov.au,629 Surrey Drive,Pilcaniyeu,,Argentina,8412,true,false,4296271550,Trumaine Cockson,591-232-5402,Trumaine Thurston,233-317-9732,Hill's Science Diet,9.52,once a day,65.2,weekly,0.6,calm,ball,bird seed,moderate
284,Damaris,cat,Holland Lop,4,94.3,black,9/26/2019,Damaris Simchenko,dhuskinson7v@w3.org,11179 Derek Alley,Ārifwāla,,Pakistan,50770,false,true,6317711746,Damaris McFfaden,194-448-8340,Damaris Huskinson,954-690-1761,Blue Buffalo,1.9,three times a day,93.5,weekly,6.3,shy,feather wand,fish flakes,high
285,Hewie,bird,Siamese,13,41.1,brown,8/9/2009,Hewie Yepiskov,hmealham7w@umich.edu,3955 Russell Place,Luan Balu,,Indonesia,,false,false,5473032406,Hewie Craigg,126-401-1968,Hewie Mealham,537-819-1017,Iams,1.9,once a day,70.7,weekly,6.4,playful,ball,fish flakes,high
286,Dulcia,dog,Siamese,12,97.5,white,10/27/2004,Dulcia Boraston,dmanhood7x@tmall.com,3420 6th Drive,Dijon,Bourgogne,France,21019 CEDEX,true,true,8245594895,Dulcia Pipe,402-545-6732,Dulcia Manhood,655-383-0190,Hill's Science Diet,3.25,twice a day,109.5,3 times a week,23,energetic,chew toy,carrot,moderate
287,Collette,cat,Goldfish,12,80,black,5/28/2005,Collette Ferre,cgabitis7y@multiply.com,7896 Vidon Terrace,Novo,Braga,Portugal,4720-609,true,false,5446430651,Collette Mollindinia,129-855-2267,Collette Gabitis,630-522-0673,Royal Canin,8.59,twice a day,99,daily,23.5,playful,laser pointer,bird seed,moderate
288,Shelli,rabbit,Goldfish,16,78.3,brown,7/26/2018,Shelli Worg,sswatridge7z@diigo.com,357 Talisman Center,Puksoozero,,Russia,164251,true,false,4501089933,Shelli Pollendine,568-791-4253,Shelli Swatridge,182-734-6291,Royal Canin,7.18,once a day,98.8,daily,11.1,playful,laser pointer,bird seed,moderate
289,Shannon,fish,Parakeet,6,97.9,orange,9/14/2016,Shannon Cinelli,scarnalan80@cafepress.com,0705 Village Lane,Huagu,,China,,true,false,6595126092,Shannon Eirwin,832-628-4728,Shannon Carnalan,760-394-5601,Hill's Science Diet,3.01,twice a day,115,weekly,8.8,calm,chew toy,catnip,low
290,Jennica,fish,Goldfish,10,54.3,white,10/12/2007,Jennica Bezant,jvyvyan81@amazon.com,8 Barby Road,Sukaharja,,Indonesia,,true,true,9852605509,Jennica MacMeeking,133-281-1669,Jennica Vyvyan,741-816-8992,Royal Canin,1.74,once a day,10.9,daily,2.9,calm,feather wand,bird seed,high
